"filename", "language", "Markdown", "Batch", "Shell Script", "HTTP", "JSON", "JavaScript", "Properties", "Log", "ObjectPascal", "HTML", "YAML", "CSS", "SCSS", "Dart", "XML", "comment", "blank", "total"
"/Users/FelixYeung/Projects/event-ticketing-system/client/event_ticketing_system/web/assets/icons/icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"/Users/FelixYeung/Projects/event-ticketing-system/client/event_ticketing_system/web/assets/images/bmc-new-btn-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 0, 29
"/Users/FelixYeung/Projects/event-ticketing-system/client/event_ticketing_system/web/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 4, 27
"/Users/FelixYeung/Projects/event-ticketing-system/client/event_ticketing_system/web/manifest.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/FelixYeung/Projects/event-ticketing-system/client/index.js", "JavaScript", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 29
"/Users/FelixYeung/Projects/event-ticketing-system/client/package-lock.json", "JSON", 0, 0, 0, 0, 2013, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2014
"/Users/FelixYeung/Projects/event-ticketing-system/client/package.json", "JSON", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28
"/Users/FelixYeung/Projects/event-ticketing-system/client/src/dialogflow.js", "JavaScript", 0, 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 10, 54
"/Users/FelixYeung/Projects/event-ticketing-system/client/src/ets-bxok-fc31bc4e01b8.json", "JSON", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"/Users/FelixYeung/Projects/event-ticketing-system/client/src/ets.js", "JavaScript", 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 70
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/404.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 0, 2, 99
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/app/assets/AssetManifest.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/app/assets/FontManifest.json", "JSON", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/app/assets/icons/icon.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/app/assets/images/bmc-new-btn-logo.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 28, 1, 0, 29
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/app/flutter_service_worker.js", "JavaScript", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 10, 165
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/app/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 2, 4, 27
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/app/main.dart.js", "JavaScript", 0, 0, 0, 0, 0, 66451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 66454
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/app/manifest.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/ascii/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 0, 1, 30
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/ascii/main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 114, 0, 0, 0, 1, 16, 131
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/ascii/main.js", "JavaScript", 0, 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 55
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/ascii/main.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 1, 10, 119
"/Users/FelixYeung/Projects/event-ticketing-system/client/web/docs/README.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
